torch.Size([1000000, 3]) torch.Size([1000000, 1]) torch.Size([1000000, 1])
It: 26000, Loss: 4.230e-03, lamd1: 0.970, lamd2: 0.01261, Time: 42.20
It: 26100, Loss: 3.976e-03, lamd1: 0.970, lamd2: 0.01263, Time: 42.11
It: 26200, Loss: 4.328e-03, lamd1: 0.970, lamd2: 0.01247, Time: 41.94
It: 26300, Loss: 3.979e-03, lamd1: 0.972, lamd2: 0.01264, Time: 42.13
It: 26400, Loss: 3.854e-03, lamd1: 0.972, lamd2: 0.01261, Time: 42.08
It: 26500, Loss: 3.742e-03, lamd1: 0.972, lamd2: 0.01259, Time: 41.86
It: 26600, Loss: 3.924e-03, lamd1: 0.973, lamd2: 0.01260, Time: 42.20
It: 26700, Loss: 3.967e-03, lamd1: 0.972, lamd2: 0.01243, Time: 41.99
It: 26800, Loss: 3.830e-03, lamd1: 0.974, lamd2: 0.01258, Time: 42.54
It: 26900, Loss: 4.178e-03, lamd1: 0.974, lamd2: 0.01272, Time: 42.42
It: 27000, Loss: 3.554e-03, lamd1: 0.975, lamd2: 0.01248, Time: 42.19
It: 27100, Loss: 4.065e-03, lamd1: 0.975, lamd2: 0.01268, Time: 42.11
It: 27200, Loss: 3.367e-03, lamd1: 0.976, lamd2: 0.01249, Time: 41.23
It: 27300, Loss: 3.787e-03, lamd1: 0.975, lamd2: 0.01248, Time: 41.40
It: 27400, Loss: 3.349e-03, lamd1: 0.977, lamd2: 0.01245, Time: 41.80
It: 27500, Loss: 3.205e-03, lamd1: 0.977, lamd2: 0.01251, Time: 41.36
It: 27600, Loss: 3.170e-03, lamd1: 0.976, lamd2: 0.01247, Time: 42.27
It: 27700, Loss: 3.484e-03, lamd1: 0.976, lamd2: 0.01264, Time: 42.37
It: 27800, Loss: 3.175e-03, lamd1: 0.976, lamd2: 0.01245, Time: 42.41
It: 27900, Loss: 3.928e-03, lamd1: 0.978, lamd2: 0.01249, Time: 42.35
It: 28000, Loss: 3.030e-03, lamd1: 0.978, lamd2: 0.01253, Time: 42.47
It: 28100, Loss: 3.050e-03, lamd1: 0.978, lamd2: 0.01253, Time: 42.24
It: 28200, Loss: 2.980e-03, lamd1: 0.978, lamd2: 0.01251, Time: 42.41
It: 28300, Loss: 3.293e-03, lamd1: 0.978, lamd2: 0.01266, Time: 41.17
It: 28400, Loss: 3.057e-03, lamd1: 0.977, lamd2: 0.01270, Time: 42.08
It: 28500, Loss: 3.087e-03, lamd1: 0.979, lamd2: 0.01264, Time: 42.55
It: 28600, Loss: 4.040e-03, lamd1: 0.979, lamd2: 0.01252, Time: 42.44
It: 28700, Loss: 2.795e-03, lamd1: 0.980, lamd2: 0.01268, Time: 41.09
It: 28800, Loss: 2.711e-03, lamd1: 0.979, lamd2: 0.01251, Time: 41.00
It: 28900, Loss: 2.877e-03, lamd1: 0.979, lamd2: 0.01255, Time: 42.36
It: 29000, Loss: 2.748e-03, lamd1: 0.980, lamd2: 0.01254, Time: 42.48
